utc_ts,game,viewers
2025-06-21T19:29:30,The Blood of Dawnwalker,58094
2025-06-21T19:29:30,PEAK,44078
2025-06-21T19:29:30,Marvel Rivals,37610
2025-06-21T19:29:30,Overwatch 2,36321
2025-06-21T19:29:30,Minecraft,35642
2025-06-21T19:29:30,World of Warcraft,34383
2025-06-21T19:29:30,Special Events,31288
2025-06-21T19:29:30,Dead by Daylight,30561
2025-06-21T19:29:30,Borderlands 4,28569
2025-06-21T19:29:30,REMATCH,25180
2025-06-21T19:29:30,EA Sports FC 25,24812
2025-06-21T19:29:30,World of Tanks,22427
2025-06-21T19:29:30,DJs,22339
2025-06-21T19:29:30,Hearthstone,20283
2025-06-21T19:29:30,SCUM,16109
2025-06-21T19:29:30,Tom Clancy's Rainbow Six Siege X,15945
2025-06-21T19:29:30,Virtual Casino,15991
2025-06-21T19:29:30,Mario Kart World,15427
2025-06-21T19:29:30,Elden Ring: Nightreign,14994
2025-06-21T19:29:30,Dune: Awakening,14989
2025-06-21T19:29:30,Fall Guys,14550
2025-06-21T19:29:30,HELLDIVERS 2,14493
2025-06-21T19:29:30,PUBG: BATTLEGROUNDS,14422
2025-06-21T19:29:30,Hunt: Showdown 1896,13411
2025-06-21T19:29:30,Shadowverse: Worlds Beyond,13292
2025-06-21T19:29:30,Tibia,13250
2025-06-21T19:29:30,Apex Legends,12668
2025-06-21T19:29:30,Brawl Stars,12570
2025-06-21T19:29:30,ROBLOX,12298
2025-06-21T19:29:30,Rust,12289
2025-06-21T19:29:30,Chrono Odyssey,12173
2025-06-21T19:29:30,Magic: The Gathering,11937
2025-06-21T19:29:30,Sports,11490
2025-06-21T19:29:30,Sea of Thieves,11174
2025-06-21T19:29:30,Music,10756
2025-06-21T19:29:30,Old School RuneScape,10119
2025-06-21T19:29:30,Escape from Tarkov,10090
2025-06-21T19:29:30,Grand Theft Auto IV,9990
2025-06-21T19:29:30,Genshin Impact,9703
2025-06-21T19:29:30,Art,9619
2025-06-21T19:29:30,Clair Obscur: Expedition 33,8777
2025-06-21T19:29:30,Garena Free Fire,8613
2025-06-21T19:29:30,ASMR,8592
2025-06-21T19:29:30,Clash Royale,17177
2025-06-21T19:29:30,Street Fighter 6,8206
2025-06-21T19:29:30,Slots,8018
2025-06-21T19:29:30,Teamfight Tactics,7923
2025-06-21T19:29:30,Relic Guardian,7886
2025-06-21T19:29:30,GODDESS OF VICTORY: NIKKE,7796
2025-06-21T19:29:30,Star Citizen,7178
2025-06-21T19:29:30,Retro,6963
2025-06-21T19:29:30,ELDEN RING,6918
2025-06-21T19:29:30,Death Stranding: Director's Cut,6697
2025-06-21T19:29:30,DayZ,6314
2025-06-21T19:29:30,Destiny 2,6307
2025-06-21T19:29:30,Parcel Simulator,6188
2025-06-21T19:29:30,Chess,6152
2025-06-21T19:29:30,Gartic Phone,6098
2025-06-21T19:29:30,NBA 2K25,6046
2025-06-21T19:29:30,Call of Duty,6081
2025-06-21T19:29:30,R.E.P.O.,5809
2025-06-21T19:29:30,Rocket League,5611
2025-06-21T19:29:30,Trackmania,5556
2025-06-21T19:29:30,Red Dead Redemption 2,5443
2025-06-21T19:29:30,Mobile Legends: Bang Bang,5696
2025-06-21T19:29:30,Albion Online,5426
2025-06-21T19:29:30,Call of Duty: Black Ops 6,5380
2025-06-21T19:29:30,iRacing,5370
2025-06-21T19:29:30,Heroes of Might and Magic III: The Restoration of Erathia,5300
2025-06-21T19:29:30,Always On,5219
2025-06-21T19:29:30,Slime Rancher,5144
2025-06-21T19:29:30,Pokémon Scarlet/Violet,5015
2025-06-21T19:29:30,Lies of P,5000
2025-06-21T19:29:30,"Animals, Aquariums, and Zoos",4997
2025-06-21T19:29:30,FINAL FANTASY XIV ONLINE,4884
2025-06-21T19:29:30,StarCraft II,4861
2025-06-21T19:29:30,Etheria: Restart,4775
2025-06-21T19:29:30,ARK: Survival Ascended,4854
2025-06-21T19:29:30,Garry's Mod,4734
2025-06-21T19:29:30,"Pools, Hot Tubs, and Beaches",4457
2025-06-21T19:29:30,Arena Breakout: Infinite,4451
2025-06-21T19:29:30,Still Wakes the Deep,4332
2025-06-21T19:29:30,Black Desert,4339
2025-06-21T19:29:30,Age of Empires II,4262
